# Livox official MID-360 scan trajectory, uniformly sampled to 2400 rays.
# Source: https://github.com/Livox-SDK/livox_laser_simulation/blob/master/scan_mode/mid360.csv
# Columns retain the official format: Time/s,Azimuth/deg,Zenith/deg.
# The native plugin reads the directions; point timestamps come from the actual
# Gazebo raycast-request time of each acquisition batch.
Time/s,Azimuth/deg,Zenith/deg
239768,21.96,40.888
240101,273.59,37.861
240435,168.3,42.366
240768,67.685,40.218
241102,317.95,44.338
241435,211.21,47.667
241769,103.09,52.641
242102,356.94,51.482
242436,247.05,56.448
242769,141.68,58.804
243102,31.706,59.044
243436,282.82,63.477
243769,177.05,64.316
244103,66.588,64.667
244436,317.12,69.206
244770,207.13,68.982
245103,97.166,70.083
245437,343.57,71.045
245770,237.4,74.089
246104,126.16,74.01
246437,12.599,77.531
246771,265.24,80.7265
247104,153.28,80.1108
247438,42.855,84.2767
247771,293.17,86.9041
248105,183.3,89.1587
248438,69.013,90.37756
248772,319.56,93.8062
249105,206.77,92.0607
249438,92.682,94.4591
249772,342.52,95.2439
250105,228.37,91.9282
250439,114.42,92.9669
250772,4.8484,92.3672
251106,249.62,91.0379
251439,137.06,90.25665
251773,22.693,91.0442
252106,273.62,86.3923
252440,160.14,85.8143
252773,49.845,85.6823
253107,301.5,81.649
253440,187.94,80.9586
253774,79.654,78.142
254107,330.75,75.574
254441,220.02,71.671
254774,110.15,72.445
255107,0.89902,69.808
255441,248.44,66.066
255774,141.42,66.613
256108,32.467,62.52
256441,277.97,60.337
256775,171.38,60.397
257108,62.748,55.261
257442,313.32,55.098
257775,206.54,53.799
258109,101.31,53.565
258442,350.69,48.479
258776,246.49,49.696
259109,142.28,46.57
259443,34.675,42.341
259776,291.1,46.043
260110,185.14,42.165
260443,80.277,41.379
260776,337.11,45.754
261110,229.87,44.539
261443,123.08,46.186
261777,11.87,49.629
262110,269.22,50.839
262444,159.08,52.515
262777,47.914,58.08
263111,303.13,59.738
263444,191.53,60.806
263778,83.915,63.921
264111,336.44,65.802
264445,229.18,66.412
264778,116.17,69.746
265112,10.252,71.657
265445,258.72,71.041
265779,146.25,73.778
266112,40.382,76.114
266446,286.11,77.48
266779,175.07,79.692
267112,67.763,80.7988
267446,313.53,83.3396
267779,202.41,86.0209
268113,90.698,90.42362
268446,338.94,89.13429
268780,226.47,92.6799
269113,115.92,95.4958
269447,3.6804,93.6056
269780,250.09,96.8274
270114,137.74,94.786
270447,25.674,93.2738
270781,271.48,90.25723
271114,160.41,92.0122
271448,49.473,87.9998
271781,293.9,87.1818
272115,183.27,87.5485
272448,73.501,82.7461
272781,318.7,82.9137
273115,210.44,81.9475
273448,99.331,77.636
273782,348.74,77.681
274115,239.96,76.292
274449,132.11,74.482
274782,18.924,72.482
275116,272.11,72.061
275449,163.06,67.997
275783,50.656,65.639
276116,304.92,65.722
276450,192.22,61.873
276783,82.071,59.331
277117,329.29,57.465
277450,225.05,54.652
277784,113.34,50.819
278117,6.5192,51.852
278451,262.89,49.478
278784,152.41,45.344
279117,48.892,47.581
279451,305.47,44.182
279784,197.4,43.911
280118,94.585,43.6
280451,351.2,43.05
280785,247.41,40.326
281118,139.39,46.331
281452,37.271,45.94
281785,287.71,46.152
282119,177.76,51.61
282452,74.969,51.847
282786,321.8,55.908
283119,212.48,59.162
283453,102.26,63.598
283786,354.28,62.897
284120,243.17,66.786
284453,136.51,69.325
284786,25.539,69.03
285120,276.03,72.91
285453,169.21,74.214
285787,58.114,74.17
286120,308.23,78.579
286454,197.4,78.47
286787,86.747,79.568
287121,332.66,80.2135
287454,225.17,83.9933
287788,113.05,83.6252
288121,358.73,86.9691
288455,249.65,90.46726
288788,136.77,88.9171
289122,24.579,92.7824
289455,273.29,94.4967
289789,161.75,95.284
290122,47.032,94.8801
290455,295.63,94.6271
290789,184.11,92.3343
291122,69.739,92.8853
291456,320.24,91.4959
291789,207.71,86.819
292123,94.258,86.3096
292456,346.38,84.572
292790,232.13,82.3487
293123,120.68,80.8446
293457,7.2925,80.8227
293790,259.88,76.651
294124,147.04,75.606
294457,38.19,75.76
294791,290.89,72.352
295124,177.69,71.172
295458,70.404,68.967
295791,322.17,66.511
296125,211.93,62.41
296458,102.81,62.939
296791,354.23,59.895
297125,242.26,55.116
297458,136.73,55.852
297792,28.913,50.94
298125,275.81,47.544
298459,171.57,48.389
298792,65.41,42.533
299126,318.69,43.74
299459,214.44,43.986
299793,110.76,46.029
300126,4.0076,42.355
300460,259.36,46.524
300793,156.76,45.857
301127,50.79,44.613
301460,303.38,50.516
301794,197.22,49.548
302127,90.042,50.953
302460,343.34,55.957
302794,233.67,56.208
303127,124.32,58.174
303461,11.004,60.908
303794,266.41,62.617
304128,154.89,63.571
304461,42.847,68.009
304795,296.92,69.833
305128,184.7,70.093
305462,76.285,73.259
305795,328.07,75.203
306129,219.77,76.252
306462,106.6,79.037
306796,359.58,81.636
307129,247.13,80.9372
307463,134.19,83.4365
307796,26.663,86.4402
308130,271.71,87.2971
308463,159.57,89.22216
308796,50.41,89.976819
309130,295.26,91.6814
309463,182.82,93.4285
309797,69.304,96.838
310130,317.28,93.4701
310464,203.65,95.4226
310797,92.276,95.9023
311131,341.03,91.9373
311464,227.09,93.1515
311798,116.36,89.37574
312131,5.6606,86.5329
312465,252.86,82.6284
312798,142.98,83.1989
313132,33.669,79.045
313465,278.72,77.506
313799,169.45,77.599
314132,60.899,73.221
314465,306.64,72.906
314799,199.66,72.401
315132,89.007,68.091
315466,339.32,68.281
315799,231.31,67.033
316133,124.35,65.625
316466,11.459,62.682
316800,265.68,62.456
317133,157.47,58.051
317467,45.827,54.529
317800,301.71,55.066
318134,190.46,50.116
318467,82.288,47.1
318801,332.03,45.192
319134,230.5,43.308
319468,122.42,39.899
319801,17.094,43.856
320134,275.54,40.863
320468,168.24,41.878
320801,62.667,47.097
321135,320.32,46.404
321468,210.6,48.781
321802,105.92,50.747
322135,0.409,52.274
322469,254.49,52.018
322802,142.96,57.519
323136,38.455,58.398
323469,286.48,58.803
323803,175.02,63.004
324136,70.329,63.8
324470,316.39,66.576
324803,206.27,69.126
325137,95.421,73.008
325470,346.57,72.26
325804,235.11,75.585
326137,127.59,78.696
326470,16.016,78.151
326804,265.92,82.2026
327137,157.78,84.3215
327471,45.828,84.0781
327804,294.99,88.8225
328138,182.81,88.5098
328471,70.975,89.20096
328805,316.06,88.986
329138,206.56,92.4574
329472,93.725,90.64913
329805,338.32,92.8809
330139,227.63,94.8834
330472,114.95,91.3099
330806,1.7409,93.2433
331139,250.36,92.8231
331473,139.51,91.4229
331806,25.492,89.47211
332139,275.34,87.6775
332473,165.72,84.4799
332806,52.059,83.8641
333140,304.4,82.1362
333473,193.3,77.593
333807,80.569,76.565
334140,334.28,75.324
334474,220.61,72.882
334807,109.85,71.32
335141,357.08,71.04
335474,250.51,67.39
335808,137.96,65.744
336141,30.156,66.168
336475,283.58,62.833
336808,170.84,60.618
337142,64.684,58.553
337475,317.53,55.727
337808,207.48,54.944
338142,101.15,51.449
338475,354.53,48.096
338809,245.09,42.41
339142,141.97,45.042
339476,37.797,40.379
339809,288.55,38.329
340143,184.98,42.385
340476,83.368,38.595
340810,335.03,43.253
341143,229.33,46.337
341477,122.94,50.643
341810,15.779,49.798
342144,267.35,54.943
342477,162.83,56.118
342811,54.46,56.312
343144,304.42,61.573
343478,196.18,61.43
343811,87.15,62.712
344144,339.19,67.107
344478,228.16,67.07
344811,117.92,68.429
345145,4.1259,70.178
345478,258.52,72.264
